id,id2,v4,v5,v6
1,1,721.2,27.3,0.00479298817650529
1,1,721.2,27.3,0.00479298817650529
2,2,714,27.3,0.00478344094931065
2,2,714,27.3,0.00478344094931065
3,3,713.5,27.2,0.00477946352442199
3,3,713.5,27.2,0.00477946352442199
4,4,708.2,27.2,0.00477150882608175
4,4,708.2,27.2,0.00477150882608175
5,5,704.5,27.2,0.00475699293331518
5,5,704.5,27.2,0.00475699293331518
6,6,701,27.2,0.00475699293331518
6,6,701,27.2,0.00475699293331518
7,7,701.7,27.2,0.00475699293331518
7,7,701.7,27.2,0.00475699293331518
8,8,699,27.2,0.00475699293331518
8,8,699,27.2,0.00475699293331518
9,9,689.3,27.2,0.00475699293331518
9,9,689.3,27.2,0.00475699293331518
10,10,688,27.2,0.00474535071966655
10,10,688,27.2,0.00474535071966655
11,11,690.2,27.1,0.00474095189694268
11,11,690.2,27.1,0.00474095189694268
12,12,691,27.1,0.00473937073052061
12,12,691,27.1,0.00473937073052061
13,13,683.5,27.2,0.00475111875560951
13,13,683.5,27.2,0.00475111875560951
14,14,687.5,27.1,0.0047337317970825
14,14,687.5,27.1,0.0047337317970825
15,15,686,27.1,0.00471494214590473
15,15,686,27.1,0.00471494214590473
16,16,680.5,27.1,0.00471494214590473
16,16,680.5,27.1,0.00471494214590473
17,17,681.5,27.2,0.00472807794966877
17,17,681.5,27.2,0.00472807794966877
18,18,685,27.3,0.00472795137178073
18,18,685,27.3,0.00472795137178073
19,19,685,27.4,0.0047454083970941
19,19,685,27.4,0.0047454083970941
20,20,689,27.4,0.00472950615591001
20,20,689,27.4,0.00472950615591001
21,21,689.5,27.4,0.00472950615591001
21,21,689.5,27.4,0.00472950615591001
22,22,689,27.4,0.00472950615591001
22,22,689,27.4,0.00472950615591001
23,23,691,27.4,0.00473907551474663
23,23,691,27.4,0.00473907551474663
24,24,688,27.5,0.00474864516581148
24,24,688,27.5,0.00474864516581148
25,25,689.5,27.5,0.00474864516581148
25,25,689.5,27.5,0.00474864516581148
26,26,689,27.4,0.00471022404680625
26,26,689,27.4,0.00471022404680625
27,27,685.7,27.5,0.00471973499914952
27,27,685.7,27.5,0.00471973499914952
28,28,687,27.5,0.00471973499914952
28,28,687,27.5,0.00471973499914952
29,29,688,27.5,0.00471973499914952
29,29,688,27.5,0.00471973499914952
30,30,670,27.5,0.0047067761580489
30,30,670,27.5,0.0047067761580489
31,31,668.7,27.5,0.00468754308384392
31,31,668.7,27.5,0.00468754308384392
32,32,670,27.5,0.00469384871410812
32,32,670,27.5,0.00469384871410812
33,33,667,27.5,0.00469384871410812
33,33,667,27.5,0.00469384871410812
34,34,664.5,27.4,0.00467170776461751
